Fecha,Saturación,N° de pallets
2026-06-03 00:52:18.423532,60.91,67
2026-06-03 01:29:30.253130,54.55,60
2026-06-03 01:51:43.733353,42.73,47
2026-06-03 02:12:42.745448,42.73,47
2026-06-03 02:35:11.601001,62.73,69
2026-06-03 02:57:25.247989,52.73,58
2026-06-03 03:17:12.498378,74.55,82
2026-06-03 03:53:30.711833,39.09,43
2026-06-03 04:13:14.383431,26.36,29
2026-06-03 04:49:29.101801,8.18,9
2026-06-03 05:11:29.540714,3.64,4
2026-06-03 05:48:10.583526,2.73,3
2026-06-03 06:10:22.112980,28.18,31
2026-06-03 06:48:49.735735,30.91,34
2026-06-03 07:41:26.623268,5.45,6
