Fecha,Saturación,N° de pallets
2026-06-26 00:03:43.267712,117.27,129
2026-06-26 00:28:44.263525,80.0,88
2026-06-26 00:54:55.177421,92.73,102
2026-06-26 01:20:14.695499,95.45,105
2026-06-26 02:00:28.540890,78.18,86
2026-06-26 02:24:19.721004,76.36,84
2026-06-26 02:49:17.708967,86.36,95
2026-06-26 03:13:59.958955,76.36,84
2026-06-26 03:38:44.746667,76.36,84
2026-06-26 04:03:44.165505,65.45,72
2026-06-26 06:22:56.865364,176.36,194
2026-06-26 06:46:34.451867,176.36,194
2026-06-26 07:11:26.129608,176.36,194
2026-06-26 08:24:27.546797,143.64,158
2026-06-26 09:07:32.797494,113.64,125
2026-06-26 09:32:47.160156,114.55,126
2026-06-26 09:59:27.631491,123.64,136
2026-06-26 10:40:24.526134,95.45,105
2026-06-26 11:07:03.350694,90.91,100
2026-06-26 11:33:23.246218,155.45,171
2026-06-26 11:59:58.283012,177.27,195
2026-06-26 12:25:16.756948,162.73,179
2026-06-26 13:22:59.838497,238.18,262
2026-06-26 14:37:01.461104,250.0,275
2026-06-26 15:03:32.100040,259.09,285
2026-06-26 15:29:03.456323,256.36,282
2026-06-26 15:56:15.305328,255.45,281
