Fecha,Saturación,N° de pallets
2026-05-15 00:03:11.092881,158.18,174
2026-05-15 00:41:05.923853,156.36,172
2026-05-15 01:01:06.135120,150.91,166
2026-05-15 01:22:42.685819,150.91,166
2026-05-15 01:59:12.366033,130.0,143
2026-05-15 02:20:12.395276,149.09,164
2026-05-15 04:05:20.951733,128.18,141
2026-05-15 04:25:30.945830,109.09,120
2026-05-15 04:45:27.490558,127.27,140
2026-05-15 05:07:49.467737,145.45,160
2026-05-15 05:27:34.027526,133.64,147
2026-05-15 05:49:59.004801,135.45,149
2026-05-15 06:26:08.020079,158.18,174
2026-05-15 06:48:11.576899,158.18,174
2026-05-15 07:22:31.085554,158.18,174
