Fecha,Saturación,N° de pallets
2026-09-11 00:12:32.226392,30.0,33
2026-09-11 00:38:49.065880,42.73,47
2026-09-11 01:05:10.423187,48.18,53
2026-09-11 01:31:27.075904,37.27,41
2026-09-11 01:57:39.990619,31.82,35
2026-09-11 02:24:06.437846,35.45,39
2026-09-11 02:50:33.538806,62.73,69
2026-09-11 03:17:03.511752,50.91,56
2026-09-11 03:27:46.595260,45.45,50
2026-09-11 03:54:10.033268,39.09,43
2026-09-11 04:20:29.593325,40.0,44
2026-09-11 04:46:55.454503,46.36,51
2026-09-11 05:13:16.480870,71.82,79
2026-09-11 05:39:44.189777,62.73,69
2026-09-11 06:06:21.907048,62.73,69
2026-09-11 06:17:02.117101,85.45,94
2026-09-11 06:43:12.956576,77.27,85
2026-09-11 06:53:46.411455,77.27,85
2026-09-11 07:20:06.996815,77.27,85
2026-09-11 07:46:30.379011,25.45,28
2026-09-11 08:12:52.667927,23.64,26
