Fecha,Saturación,N° de pallets
2026-02-02 00:01:41.396547,5.45,6
2026-02-02 00:16:54.385269,5.45,6
2026-02-02 00:32:09.202844,5.45,6
2026-02-02 00:47:22.177302,5.45,6
2026-02-02 01:02:34.726483,5.45,6
2026-02-02 01:17:48.084215,5.45,6
2026-02-02 01:33:00.967594,5.45,6
2026-02-02 01:48:13.375923,5.45,6
2026-02-02 02:05:05.294472,5.45,6
2026-02-02 02:20:18.118413,5.45,6
2026-02-02 02:35:31.546949,5.45,6
2026-02-02 02:50:44.077660,5.45,6
2026-02-02 03:05:57.365635,5.45,6
2026-02-02 03:21:10.467720,5.45,6
2026-02-02 03:36:22.923414,5.45,6
2026-02-02 03:51:35.690490,5.45,6
2026-02-02 04:06:50.325866,17.27,19
2026-02-02 04:22:02.400665,17.27,19
2026-02-02 04:37:15.690999,16.36,18
2026-02-02 04:56:06.591421,1.82,2
2026-02-02 05:11:19.861114,4.55,5
2026-02-02 05:26:33.280756,4.55,5
2026-02-02 05:41:45.517044,10.0,11
2026-02-02 05:56:58.499491,10.0,11
2026-02-02 06:12:10.882818,10.91,12
2026-02-02 06:27:25.245871,12.73,14
2026-02-02 06:42:39.035444,12.73,14
2026-02-02 06:57:53.397401,12.73,14
2026-02-02 08:35:28.579531,1.82,2
2026-02-02 08:53:07.657494,1.82,2
2026-02-02 09:10:11.326408,3.64,4
2026-02-02 09:27:11.936616,3.64,4
2026-02-02 09:44:05.922522,3.64,4
2026-02-02 10:16:41.325201,1.82,2
