Fecha,Saturación,N° de pallets
2026-06-18 00:19:26.700737,20.91,23
2026-06-18 00:44:35.591161,14.55,16
2026-06-18 01:11:14.629786,44.55,49
2026-06-18 01:35:22.213507,34.55,38
2026-06-18 02:02:02.789685,34.55,38
2026-06-18 02:26:25.760446,24.55,27
2026-06-18 02:52:00.391978,18.18,20
2026-06-18 03:16:23.537255,38.18,42
2026-06-18 03:43:11.484967,30.91,34
2026-06-18 04:24:09.211657,44.55,49
2026-06-18 04:50:03.854864,10.0,11
2026-06-18 05:15:29.997600,11.82,13
2026-06-18 05:39:37.565279,27.27,30
2026-06-18 06:04:56.268017,22.73,25
2026-06-18 06:29:04.840801,37.27,41
2026-06-18 06:53:00.069964,37.27,41
2026-06-18 07:34:08.514328,40.91,45
2026-06-18 07:58:05.485253,37.27,41
2026-06-18 08:22:26.407606,27.27,30
2026-06-18 08:48:29.821424,27.27,30
2026-06-18 09:18:05.253372,45.45,50
2026-06-18 09:47:14.214861,73.64,81
2026-06-18 12:24:11.991555,77.27,85
2026-06-18 12:48:24.406823,95.45,105
2026-06-18 14:01:26.164613,119.09,131
2026-06-18 14:58:42.715551,75.45,83
