Fecha,Saturación,N° de pallets
2026-02-23 00:09:16.198906,12.73,14
2026-02-23 00:24:52.712454,12.73,14
2026-02-23 00:40:28.123830,12.73,14
2026-02-23 00:56:04.554197,60.0,66
2026-02-23 01:11:40.059653,69.09,76
2026-02-23 01:27:17.454408,69.09,76
2026-02-23 01:42:54.468669,69.09,76
2026-02-23 01:58:33.958844,69.09,76
2026-02-23 02:14:11.739526,69.09,76
2026-02-23 02:29:54.843186,69.09,76
2026-02-23 02:45:34.007029,69.09,76
2026-02-23 03:01:09.762217,57.27,63
2026-02-23 03:18:05.520931,57.27,63
2026-02-23 03:35:05.185224,57.27,63
