Fecha,Saturación,N° de pallets
2026-07-27 00:28:49.798563,79.09,87
2026-07-27 00:54:38.800365,131.82,145
2026-07-27 01:17:21.213355,170.0,187
2026-07-27 02:28:07.181765,170.0,187
2026-07-27 02:52:17.590914,170.0,187
2026-07-27 03:32:31.837876,170.0,187
2026-07-27 04:29:28.849537,185.45,204
2026-07-27 06:00:43.899722,213.64,235
2026-07-27 06:25:36.578398,226.36,249
2026-07-27 06:49:23.966225,226.36,249
2026-07-27 07:29:51.551823,196.36,216
2026-07-27 08:13:05.811987,132.73,146
2026-07-27 08:37:40.339266,98.18,108
2026-07-27 09:36:26.736421,42.73,47
2026-07-27 10:01:47.743125,8.18,9
2026-07-27 10:59:59.900050,8.18,9
2026-07-27 11:40:45.499251,15.45,17
2026-07-27 12:21:20.701654,8.18,9
2026-07-27 13:18:57.375170,3.64,4
2026-07-27 13:42:56.073855,3.64,4
2026-07-27 14:09:30.474172,24.55,27
2026-07-27 14:34:52.185017,24.55,27
2026-07-27 15:14:30.883715,24.55,27
2026-07-27 15:56:23.625292,5.45,6
2026-07-27 16:36:51.130577,10.91,12
2026-07-27 17:02:30.175415,5.45,6
2026-07-27 17:29:11.181921,5.45,6
2026-07-27 17:53:52.168280,5.45,6
2026-07-27 18:18:11.845250,2.73,3
2026-07-27 18:42:14.243037,4.55,5
2026-07-27 19:07:22.605424,6.36,7
2026-07-27 19:33:20.011192,2.73,3
2026-07-27 19:57:06.887364,2.73,3
2026-07-27 20:37:32.470617,42.73,47
2026-07-27 21:15:08.565319,35.45,39
