Fecha,Saturación,N° de pallets
2026-01-08 00:01:25.602658,36.36,40
2026-01-08 00:16:50.902340,24.55,27
2026-01-08 00:33:21.738514,23.64,26
2026-01-08 01:09:14.844753,17.27,19
2026-01-08 01:27:02.581242,16.36,18
2026-01-08 01:42:29.071362,8.18,9
2026-01-08 01:57:48.931463,3.64,4
2026-01-08 03:20:51.270554,2.73,3
2026-01-08 03:36:20.283989,5.45,6
2026-01-08 04:08:00.978860,2.73,3
2026-01-08 04:41:50.399044,4.55,5
2026-01-08 06:11:50.960154,7.27,8
2026-01-08 06:29:26.850121,9.09,10
2026-01-08 06:44:57.527910,9.09,10
2026-01-08 07:00:21.999270,9.09,10
2026-01-08 08:09:06.799211,11.82,13
2026-01-08 08:26:28.872612,10.91,12
2026-01-08 08:42:58.868258,7.27,8
2026-01-08 08:58:20.966247,10.0,11
2026-01-08 09:13:52.950408,6.36,7
2026-01-08 10:15:47.375844,4.55,5
2026-01-08 10:32:11.197662,4.55,5
2026-01-08 10:48:08.956169,13.64,15
2026-01-08 11:04:11.396204,13.64,15
2026-01-08 11:20:08.680995,15.45,17
2026-01-08 11:36:04.410554,15.45,17
2026-01-08 11:53:57.734515,6.36,7
2026-01-08 12:13:30.086955,38.18,42
2026-01-08 12:29:36.475307,20.0,22
2026-01-08 12:45:43.589665,20.0,22
2026-01-08 13:01:37.247559,16.36,18
