Fecha,Saturación,N° de pallets
2026-04-17 00:48:29.317230,243.64,268
2026-04-17 01:04:03.443344,216.36,238
2026-04-17 01:22:15.794754,182.73,201
2026-04-17 01:40:34.172470,210.91,232
2026-04-17 01:56:11.860529,201.82,222
2026-04-17 02:12:59.457938,196.36,216
2026-04-17 02:29:48.553132,196.36,216
2026-04-17 03:04:06.914764,180.0,198
2026-04-17 04:43:13.865951,172.73,190
2026-04-17 05:01:13.331057,172.73,190
2026-04-17 05:16:51.170259,172.73,190
2026-04-17 05:32:27.825687,230.91,254
2026-04-17 05:49:15.734866,229.09,252
2026-04-17 06:04:57.320013,212.73,234
2026-04-17 06:37:20.457105,275.45,303
2026-04-17 06:52:55.856596,275.45,303
2026-04-17 07:08:32.056031,275.45,303
2026-04-17 09:06:20.284313,237.27,261
2026-04-17 10:12:21.044980,246.36,271
2026-04-17 10:28:09.176526,245.45,270
2026-04-17 11:18:58.222013,233.64,257
2026-04-17 12:08:10.680567,219.09,241
2026-04-17 12:23:47.090514,249.09,274
2026-04-17 12:42:04.094431,236.36,260
2026-04-17 12:58:56.172502,235.45,259
2026-04-17 13:14:33.421493,235.45,259
2026-04-17 13:48:06.465133,256.36,282
2026-04-17 14:20:15.484192,245.45,270
