Codigo;DescripciÃƒÂ³n de artÃƒÂ­culo;Cod Barra;Peso;Cupo;Cod Jerarq 4;CÃƒÂ³digos de artÃƒÂ­-culos alternativos;Descrip 3 Artic;Familia Envase
123163;Takis Fuego 1ct 1oz 28g FLOW BAR EXP;757528005047;28;46;96 CU;123163;CU;CAJAS
123189;Takis Fuego 42ct 2oz 56g CASE EXP BAR;20757528002767;56;42;112 CU;123189;CU;CAJAS
123191;Takis Fuego 20ct 4oz 113.4g CASE EXP BAR;30757528008797;113.4;20;112 CU;123191;CU;CAJAS
123397;Takis Fuego 9.9oz 280g FLOW BAR EXP;757528028268_123397;280;12;64 CU;123397;CU;CAJAS
123399;Takis Xplosion 9.9OZ 280g EXP CAN BAR;757528028282_123399;280;12;64 CU;123399;CU;CAJAS
123490;Takis Fuego 1p 190g Flow BAR EXP;757528028947;190;12;135 CT;123490;CT;CAJAS
123501;Takis Xplosion 1p 56g Flow BAR EXP;757528029050;56;36;108 CT;123501;CT;CAJAS
123502;Takis Xplosion 1p 90g Flow BAR EXP;757528029067;90;35;64 CT;123502;CT;CAJAS
123503;Takis Xplosion 1p 190g Flow BAR EXP;757528029074;190;12;135 CT;123503;CT;CAJAS
124317;Takis Fuego 14ct 9.9oz 280g CASE EXP BAR;20757528008684;280;14;72 CU;124317;CU;CAJAS
124678;Takis Blue Heat Promo 20ct 4oz 113.4g BAG BAR;10757528037465;113.4;20;112 CU;124678;CU;CAJAS
124679;Takis Blue Heat Promo 14ct 9.9oz 280g BAG BAR;10757528037472;280;14;72 CU;124679;CU;CAJAS
124949;Chips Sal 1p 170g Flow BAR EXP;757528038908_1;170;8;108 CT;124949;CT;CAJAS
125070;Takis Fuego 1p 56g Bolsa BAR;757528039592;56;42;112 CME;125070;CME;CORRUGADO
125071;Takis Fuego 1p 280g Bolsa BAR;757528039608;280;12;64 CME;125071;CME;CORRUGADO
125072;Takis Original 1p 56g BOLSA BAR EXP;757528039615;56;42;112 CME;125072;CME;CORRUGADO
125073;Takis Original 1p 280g Bolsa BAR;757528039622;280;12;64 CME;125073;CME;CORRUGADO
125074;Takis Xplosion 1p 56g Bolsa BAR;757528039639;56;42;112 CME;125074;CME;CORRUGADO
125075;Takis Xplosion 1p 280g Bolsa BAR;757528039646;280;12;64 CME;125075;CME;CORRUGADO
125141;Pop Karameladas 1p 105g Flow BAR EXP;757528040048;105;16;135 CT;125141;CT;CAJAS
125179;Pop Karameladas 1p 260g Flow BAR EXP;757528040406;260;10;108 CT;125179;CT;CAJAS
125180;Pop Karameladas 1p 50g Flow BAR EXP;757528040413;50;35;120 CT;125180;CT;CAJAS
125183;Chips Fuego 1p 42g Flow BAR EXP;757528040444;42;30;120 CT;125183;CT;CAJAS
125185;Chips Fuego 1p 170g Flow BAR EXP;757528040468;170;8;108 CT;125185;CT;CAJAS
125186;Chips Jalapeno 1p 42g Flow BAR EXP;757528040475;42;30;120 CT;125186;CT;CAJAS
125188;Chips Jalapeno 1p 170g Flow BAR EXP;757528040499;170;8;108 CT;125188;CT;CAJAS
125189;Chips Sal 1p 42g Flow BAR EXP;757528040505;42;30;120 CT;125189;CT;CAJAS
125426;Takis Fuego 1p 15g Bolsa BAR;757528042547;15;72;48 CME;125426;CME;CORRUGADO
125995;Bolson Chip Fuego 25p 450g Bolsa BAR EXP;7503029445874;450;5;30 CT;125995;CT;CAJAS
126102;Takis Xplosion 1p 200g Bolsa EXP CHI BAR;757528044978;200;16;64 CME;126102;CME;CORRUGADO
126103;Takis Original 1p 200g Bolsa EXP CHI BAR;757528044985;200;16;64 CME;126103;CME;CORRUGADO
126104;Takis Fuego 1p 200g Bolsa BAR EXP;757528044992;200;16;64 CME;126104;CME;CORRUGADO
126349;Chips Fuego 1p 55g Flow BAR EXP;7503030374125;55;35;64 CT;126349;CT;CAJAS
126350;Chips Jalapeno 1p 55g Flow BAR EXP;757528045180;55;35;64 CT;126350;CT;CAJAS
126433;Takis Wapas Fuego 1p 40g Bolsa BAR EXP;757528045296;40;30;112 CU;126433;CU;CAJAS
126434;Takis Wapas Fuego 1p 170g Bolsa BAR EXP;757528045302;170;12;64 CU;126434;CU;CAJAS
126437;Takis Wapas QuesLoc 1p 40g Bolsa BAR EXP;757528045333;40;30;112 CU;126437;CU;CAJAS
126438;Takis WapasQuesLoc 1p 170g Bolsa BAR EXP;757528045340;170;12;64 CU;126438;CU;CAJAS
126565;TakisFuego 20C4OZ113.4g BOLSA BAR EXP;757528045449;113.4;20;112 CU;126565;CU;CAJAS
126566;Takis Fuego 42CT 2OZ56g BOLSA BAR EXP;757528045456;56.7;42;112 CU;126566;CU;CAJAS
126576;TakisFuego 14p9.9OZ280g BOLSA BAR EXP;757528045531;280.7;14;72 CU;126576;CU;CAJAS
127049;Takis Kettlez Fuego 20ct 2.5oz71g CASE EXP BAR;757528046361;71;20;112 CU;127049;CU;CAJAS
127062;Takis HotNuts Fueg 1p 90g Bolsa BAR EXP;757528046392;90;36;108 CU;127062;CU;CAJAS
127063;Takis HotNuts Orig 1p 90g Bolsa BAR EXP;757528046712;90;36;108 CU;127063;CU;CAJAS
127122;Takis Huakamoles 1p 56g FLOW BAR EXP;757528046491;56;36;108 CT;127122;CT;CAJAS
127133;Big Mix Fuego 1p 25g Flow BAR;757528046507;25;50;72 CT;127133;CT;CAJAS
127207;Takis Dragon Sweet Chili 1Ct 9.88Oz 280G BAG BAR EXP;10757528046566;280;12;64 CU;127207;CU;CAJAS
127208;Takis Dragon Sweet Chili 1Ct 3.17Oz 90G BAG BAR EXP;10757528046573;90;18;112 CU;127208;CU;CAJAS
127243;Takis Huakamoles 1p 90g FLOW BAR EXP;757528046637;90;35;64 CT;127243;CT;CAJAS
127244;Takis Huakamoles 1p 190g FLOW BAR EXP;757528046644;190;12;135 CT;127244;CT;CAJAS
127245;Takis Fuego 1ct 9.8OZ 280g FLOW BAR EXP;757528046651;280;14;72 CU;127245;CU;CAJAS
127280;Takis HotNuts Orig 1p 200g Bolsa BAR EXP;757528046408;200;30;72 CU;127280;CU;CAJAS
127281;Takis HotNuts Fueg 1p 200g Bolsa BAR EXP;757528046729;200;30;72 CU;127281;CU;CAJAS
127492;Mini Takis Fuego 25p 875g CJA BAR EXP;10757528047419;4375;1;72 CU;127492;CU;CAJAS
127529;Chips Fuego 1p 36g Flow BAR;757528047467;36;30;112 CT;127529;CT;CAJAS
127530;Chips Jalapeno 1p 36g Flow BAR;757528047474;36;30;112 CT;127530;CT;CAJAS
127531;Chips Sal 1p 36g Flow BAR;757528047481;36;30;112 CT;127531;CT;CAJAS
127566;Takis Hot Nuts Fuego 12p 3.2oz 90g CASE BAR EXP;757528047504;90;36;108 CU;127566;CU;CAJAS
127567;Takis Hot Nuts Flare 12p 3.2oz 90g CASE BAR EXP;757528047511;90;36;108 CU;127567;CU;CAJAS
127568;Takis Blue Heat 1ct 4OZ 113.4g FLOW BAR EXP;757528047528;113.4;20;112 CU;127568;CU;CAJAS
127595;TakisWaves Dragon SweetChili 10ct 6.7oz 190g CASE BAR EXP;10757528047532;190;10;64 CU;127595;CU;CAJAS
127599;Takis Waves Fuego 10ct 6.7oz 190g CASE BAR EXP;10757528047556;190;10;64 CU;127599;CU;CAJAS
127619;Takis Fuego 42p 45g FLOW BAR EXP;7500810001295;45;42;112 CU;127619;CU;CAJAS
127620;Takis Original 42p 45g FLOW BAR EXP;7500810001301;45;42;112 CU;127620;CU;CAJAS
127621;Takis Xplosion 42p 45g FLOW BAR EXP;7500810001318;45;42;112 CU;127621;CU;CAJAS
127666;Takis Waves Fuego Gcc 1ct 2.5oz 71g FLOW BAR EXP;7500810001592_127666;71;20;112 CU;127666;CU;CAJAS
127667;Takis Waves Fuego Gcc 1ct 8oz 227g FLOW BAR EXP;7500810001608_127667;227;12;64 CU;127667;CU;CAJAS
127767;Pop Fuego 1p 25g FLOW BAR EXP;7500810003190;25;25;112 CT;127767;CT;CAJAS
127799;Takis Original 24p 185g FLOW BAR EXP;7500810003657;185;24;64 CU;127799;CU;CAJAS
127800;Takis Fuego 24p 185g FLOW BAR EXP;7500810003664;185;24;64 CU;127800;CU;CAJAS
127811;Takis Xplosion 24p 185g FLOW BAR EXP;7500810003954;185;24;64 CU;127811;CU;CAJAS
127888;Mini Takis Fuego JOR 25p 30.8oz875g CASE BAR EXP;17500810004590;4375;1;64 CU;127888;CU;CAJAS
127890;Takis Fuego JOR 46p 1oz28g CASE BAR EXP;17500810004613;28;46;96 CU;127890;CU;CAJAS
127891;Takis Fuego JOR 36p 2oz56g CASE BAR EXP;17500810004644;56;36;117 CU;127891;CU;CAJAS
127892;TakisFuego JOR 16p 4oz113.4g CASE BAR EXP;17500810004620;113.4;16;117 CU;127892;CU;CAJAS
127992;Hot Nuts Fuego 1p 50g FLOW BAR EXP;7500810005903;50;72;108 CT;127992;CT;CAJAS
127993;Hot Nuts Original 1p 80g FLOW BAR EXP;7500810005910;80;16;312 CT;127993;CT;CAJAS
127994;Hot Nuts Original 1p 50g FLOW BAR EXP;7500810005927;50;72;108 CT;127994;CT;CAJAS
