Fecha,Saturación,N° de pallets
2025-11-16 00:33:58.230295,8.18,9
2025-11-16 00:49:13.504004,8.18,9
2025-11-16 01:04:32.159909,8.18,9
2025-11-16 01:19:47.338909,3.64,4
2025-11-16 01:51:19.528824,8.18,9
2025-11-16 02:39:23.990570,3.64,4
2025-11-16 03:17:01.551996,17.27,19
2025-11-16 03:33:34.266332,17.27,19
2025-11-16 04:05:59.883694,17.27,19
2025-11-16 04:37:28.865675,7.27,8
2025-11-16 05:27:15.659053,1.82,2
2025-11-16 06:16:53.206669,1.82,2
2025-11-16 06:35:30.808624,19.09,21
2025-11-16 08:15:12.201997,19.09,21
2025-11-16 10:30:10.631163,19.09,21
2025-11-16 11:20:38.182673,19.09,21
2025-11-16 11:35:55.303034,19.09,21
2025-11-16 13:12:27.885616,19.09,21
