Fecha,Saturación,N° de pallets
2026-03-15 00:14:58.210797,15.45,17
2026-03-15 00:30:36.159291,31.82,35
2026-03-15 00:46:17.381775,32.73,36
2026-03-15 01:03:54.277828,17.27,19
2026-03-15 01:19:32.271333,13.64,15
2026-03-15 01:35:23.159429,245.45,270
2026-03-15 01:53:44.967956,11.82,13
2026-03-15 02:10:51.068960,11.82,13
2026-03-15 02:28:18.589075,0.91,1
2026-03-15 02:46:16.629660,2.73,3
2026-03-15 03:02:06.994400,1.82,2
2026-03-15 03:18:38.042126,1.82,2
2026-03-15 04:14:31.810175,5.45,6
2026-03-15 04:30:10.646468,6.36,7
2026-03-15 04:47:38.031321,6.36,7
2026-03-15 05:03:30.301831,266.36,293
2026-03-15 05:37:17.145673,0.0,0
2026-03-15 05:54:17.348107,10.91,12
