Fecha,Saturación,N° de pallets
2026-02-09 04:35:37.186230,1.82,2
2026-02-09 05:07:25.374092,7.27,8
2026-02-09 05:25:05.673355,12.73,14
2026-02-09 07:05:07.396851,32.73,36
2026-02-09 07:21:49.892563,32.73,36
2026-02-09 07:54:23.592795,32.73,36
2026-02-09 15:20:52.896654,0.91,1
2026-02-09 16:14:16.952305,71.82,79
2026-02-09 17:02:51.463388,35.45,39
2026-02-09 17:19:47.772801,32.73,36
2026-02-09 17:36:40.448429,32.73,36
2026-02-09 17:54:52.058304,39.09,43
2026-02-09 18:11:36.741245,57.27,63
2026-02-09 18:28:52.674807,72.73,80
2026-02-09 19:00:52.616403,52.73,58
2026-02-09 19:18:46.973638,71.82,79
2026-02-09 19:50:57.280291,56.36,62
2026-02-09 20:07:40.775367,40.91,45
2026-02-09 20:23:13.016791,28.18,31
2026-02-09 20:38:45.546882,26.36,29
2026-02-09 21:10:51.752528,101.82,112
2026-02-09 21:45:24.580348,94.55,104
2026-02-09 22:02:16.445609,117.27,129
2026-02-09 22:17:49.482196,132.73,146
2026-02-09 22:35:48.758873,132.73,146
