Sucurs;Cod Cia;Nro LPN;Nro de Sello;Nro Activo;Peso;Volum;Nro Seguimiento;Nro Tracking Maestro;Nro Orden;Nro OC;Ruta Externa;Tipo;Estado LPN;Estilo;Codigo;Cod Barra Prod;UnEmpac;Cupo;Es principal;CÃ³digos de artÃ­-culos alternativos;DescripciÃ³n de artÃ­culo;Ubic Pick;Cantidad Asignada;Cant. Empacada;Cantidad (Pza);Nro Cliente;Ciudad Clte;Dest;Estado Audit;Ubic Actual;Nro Palet;Nombre Clte;Cod Postal;OC Cliente;Comp Dest;Ref Carton;Ref Nro OC;LPN Fe y Hr Creac;LPN Fe Y Hr Modif;Usua Pick;Detail Pick User;Detail Picked Time;Usua Pick;Usua Packing;Fe Hr Packing;Unidades para niÃƒÂ±os actuales;Ruta;Cod Jerarq 1;Cod Jerarq 2;Cod Jerarq 3;Cod Jerarq 4;Cod Jerarq 5;Jerarq1;Jeraq Item 2;Jerarq3;Jerarq4;Categoria;LPN Usuario Modificac;Nro Ejecuc;Asig Usuario Mod;Asig FeyHr Creac;Asig FeyHr Modif;Tipo Contened;Vol LPN;Nro Lote;Attribute A;Cod Bloq De Lote;Etiq Prc Impresa;Es Pqte;Ver nÃºmero de serie;Long;Ancho;Alto;CodBloq;Nro Transp Recib;Porc Toler Pack;Asignación - Ubicación de selección;Etiqueta de envío: último registro de hora impreso;Etiqueta de LPN de salida: último registro de hora impreso;Etiqueta de contenido de LPN de salida: último registro de hora impreso
HKL;CLID;="169265100343574";;;17500;1.5;;;="11149675";;;FULL-CONTAINER;Empacado;;="29586";="7803403295867";5;18;False;="29586";Pan Pascua FS 1p 700g BOLSA ID;None;25;25;25;;;HKO;No obligatorio;None;;;;;*;;;23/09/2026 20:26:53;23/09/2026 20:27:19;gcastilie;gcastilie;23/09/2026 20:27:19;gcastilie;gcastilie;23/09/2026 20:27:19;25;HKO;0;5;9;45 CG;100234;Cantidad de pallet;Envases por Bandeja;Bandejas por Pallet;Unit of Measure;Codigo de Barredura;gcastilie;;gcastilie;23/09/2026 20:26:53;23/09/2026 20:27:19;;;HKL141A230926;="300022431852463";;False;0;;0;0;0;0;;0;;;;
HKL;CLID;="169265100344278";;;17500;1.5;;;="11149675";;;FULL-CONTAINER;Empacado;;="29586";="7803403295867";5;18;False;="29586";Pan Pascua FS 1p 700g BOLSA ID;None;25;25;25;;;HKO;No obligatorio;None;;;;;*;;;23/09/2026 20:26:32;23/09/2026 20:26:38;gcastilie;gcastilie;23/09/2026 20:26:38;gcastilie;gcastilie;23/09/2026 20:26:38;25;HKO;0;5;9;45 CG;100234;Cantidad de pallet;Envases por Bandeja;Bandejas por Pallet;Unit of Measure;Codigo de Barredura;gcastilie;;gcastilie;23/09/2026 20:26:32;23/09/2026 20:26:38;;;HKL141A230926;="300022431852463";;False;0;;0;0;0;0;;0;;;;
HKL;CLID;="169265100343573";;;17500;1.5;;;="11149675";;;FULL-CONTAINER;Empacado;;="29586";="7803403295867";5;18;False;="29586";Pan Pascua FS 1p 700g BOLSA ID;None;25;25;25;;;HKO;No obligatorio;None;;;;;*;;;23/09/2026 20:26:22;23/09/2026 20:26:27;gcastilie;gcastilie;23/09/2026 20:26:27;gcastilie;gcastilie;23/09/2026 20:26:27;25;HKO;0;5;9;45 CG;100234;Cantidad de pallet;Envases por Bandeja;Bandejas por Pallet;Unit of Measure;Codigo de Barredura;gcastilie;;gcastilie;23/09/2026 20:26:22;23/09/2026 20:26:27;;;HKL141A230926;="300022431852463";;False;0;;0;0;0;0;;0;;;;
HKL;CLID;="169265100343572";;;17500;1.5;;;="11149675";;;FULL-CONTAINER;Empacado;;="29586";="7803403295867";5;18;False;="29586";Pan Pascua FS 1p 700g BOLSA ID;None;25;25;25;;;HKO;No obligatorio;None;;;;;*;;;23/09/2026 20:26:13;23/09/2026 20:26:18;gcastilie;gcastilie;23/09/2026 20:26:18;gcastilie;gcastilie;23/09/2026 20:26:18;25;HKO;0;5;9;45 CG;100234;Cantidad de pallet;Envases por Bandeja;Bandejas por Pallet;Unit of Measure;Codigo de Barredura;gcastilie;;gcastilie;23/09/2026 20:26:13;23/09/2026 20:26:18;;;HKL141A230926;="300022431852463";;False;0;;0;0;0;0;;0;;;;
HKL;CLID;="169265100343571";;;17500;1.5;;;="11149675";;;FULL-CONTAINER;Empacado;;="29586";="7803403295867";5;18;False;="29586";Pan Pascua FS 1p 700g BOLSA ID;None;25;25;25;;;HKO;No obligatorio;None;;;;;*;;;23/09/2026 20:26:05;23/09/2026 20:26:09;gcastilie;gcastilie;23/09/2026 20:26:09;gcastilie;gcastilie;23/09/2026 20:26:09;25;HKO;0;5;9;45 CG;100234;Cantidad de pallet;Envases por Bandeja;Bandejas por Pallet;Unit of Measure;Codigo de Barredura;gcastilie;;gcastilie;23/09/2026 20:26:05;23/09/2026 20:26:09;;;HKL141A230926;="300022431852463";;False;0;;0;0;0;0;;0;;;;
HKL;CLID;="169265100344269";;;17500;1.5;;;="11149675";;;FULL-CONTAINER;Empacado;;="29586";="7803403295867";5;18;False;="29586";Pan Pascua FS 1p 700g BOLSA ID;None;25;25;25;;;HKO;No obligatorio;None;;;;;*;;;23/09/2026 19:52:05;23/09/2026 19:56:02;gcastilie;gcastilie;23/09/2026 19:56:02;gcastilie;gcastilie;23/09/2026 19:56:02;25;HKO;0;5;9;45 CG;100234;Cantidad de pallet;Envases por Bandeja;Bandejas por Pallet;Unit of Measure;Codigo de Barredura;gcastilie;;gcastilie;23/09/2026 19:52:05;23/09/2026 19:56:02;;;HKL141A230926;="300022431852463";;False;0;;0;0;0;0;;0;;;;
HKL;CLID;="169265100344277";;;17500;1.5;;;="11149675";;;FULL-CONTAINER;Empacado;;="29586";="7803403295867";5;18;False;="29586";Pan Pascua FS 1p 700g BOLSA ID;None;25;25;25;;;HKO;No obligatorio;None;;;;;*;;;23/09/2026 19:51:57;23/09/2026 19:52:01;gcastilie;gcastilie;23/09/2026 19:52:01;gcastilie;gcastilie;23/09/2026 19:52:01;25;HKO;0;5;9;45 CG;100234;Cantidad de pallet;Envases por Bandeja;Bandejas por Pallet;Unit of Measure;Codigo de Barredura;gcastilie;;gcastilie;23/09/2026 19:51:57;23/09/2026 19:52:01;;;HKL141A230926;="300022431852463";;False;0;;0;0;0;0;;0;;;;
HKL;CLID;="169265100344276";;;17500;1.5;;;="11149675";;;FULL-CONTAINER;Empacado;;="29586";="7803403295867";5;18;False;="29586";Pan Pascua FS 1p 700g BOLSA ID;None;25;25;25;;;HKO;No obligatorio;None;;;;;*;;;23/09/2026 19:51:48;23/09/2026 19:51:53;gcastilie;gcastilie;23/09/2026 19:51:53;gcastilie;gcastilie;23/09/2026 19:51:53;25;HKO;0;5;9;45 CG;100234;Cantidad de pallet;Envases por Bandeja;Bandejas por Pallet;Unit of Measure;Codigo de Barredura;gcastilie;;gcastilie;23/09/2026 19:51:48;23/09/2026 19:51:53;;;HKL141A230926;="300022431852463";;False;0;;0;0;0;0;;0;;;;
HKL;CLID;="169265100344275";;;17500;1.5;;;="11149675";;;FULL-CONTAINER;Empacado;;="29586";="7803403295867";5;18;False;="29586";Pan Pascua FS 1p 700g BOLSA ID;None;25;25;25;;;HKO;No obligatorio;None;;;;;*;;;23/09/2026 19:51:38;23/09/2026 19:51:44;gcastilie;gcastilie;23/09/2026 19:51:44;gcastilie;gcastilie;23/09/2026 19:51:44;25;HKO;0;5;9;45 CG;100234;Cantidad de pallet;Envases por Bandeja;Bandejas por Pallet;Unit of Measure;Codigo de Barredura;gcastilie;;gcastilie;23/09/2026 19:51:38;23/09/2026 19:51:44;;;HKL141A230926;="300022431852463";;False;0;;0;0;0;0;;0;;;;
HKL;CLID;="169265100344274";;;17500;1.5;;;="11149675";;;FULL-CONTAINER;Empacado;;="29586";="7803403295867";5;18;False;="29586";Pan Pascua FS 1p 700g BOLSA ID;None;25;25;25;;;HKO;No obligatorio;None;;;;;*;;;23/09/2026 19:51:27;23/09/2026 19:51:34;gcastilie;gcastilie;23/09/2026 19:51:34;gcastilie;gcastilie;23/09/2026 19:51:34;25;HKO;0;5;9;45 CG;100234;Cantidad de pallet;Envases por Bandeja;Bandejas por Pallet;Unit of Measure;Codigo de Barredura;gcastilie;;gcastilie;23/09/2026 19:51:27;23/09/2026 19:51:34;;;HKL141A230926;="300022431852463";;False;0;;0;0;0;0;;0;;;;
