Fecha,Saturación,N° de pallets
2025-10-28 00:04:27.325495,34.55,38
2025-10-28 00:19:49.157779,38.18,42
2025-10-28 00:36:07.375973,30.91,34
2025-10-28 01:07:23.867162,17.27,19
2025-10-28 07:50:07.837429,1.82,2
2025-10-28 08:07:38.568318,4.55,5
2025-10-28 08:23:00.869655,5.45,6
2025-10-28 08:38:24.208016,20.91,23
2025-10-28 08:53:43.254071,4.55,5
2025-10-28 09:11:07.706385,12.73,14
2025-10-28 09:26:31.979377,6.36,7
2025-10-28 09:42:56.884446,6.36,7
2025-10-28 10:00:29.965827,6.36,7
2025-10-28 10:32:13.018792,16.64,18
2025-10-28 10:48:42.456776,16.36,18
2025-10-28 11:21:31.512375,12.73,14
2025-10-28 11:36:53.032351,26.36,29
2025-10-28 11:53:25.481082,33.64,37
2025-10-28 12:08:51.863499,35.45,39
