Fecha,Saturación,N° de pallets
2026-04-25 07:03:56.640206,292.73,322
2026-04-25 07:19:53.631269,292.73,322
2026-04-25 07:36:02.257488,292.73,322
2026-04-25 07:52:18.788501,269.09,296
2026-04-25 08:44:22.491543,266.36,293
2026-04-25 09:27:34.948592,248.18,273
2026-04-25 09:43:53.540611,245.45,270
2026-04-25 10:00:59.676987,245.45,270
2026-04-25 10:19:31.138191,236.36,260
2026-04-25 11:28:28.606645,209.09,230
2026-04-25 12:02:56.621524,239.09,263
2026-04-25 12:54:58.710642,286.36,315
2026-04-25 13:47:02.149109,286.36,315
2026-04-25 14:47:09.399497,286.36,315
2026-04-25 15:21:00.642235,263.64,290
2026-04-25 16:27:25.945748,286.36,315
2026-04-25 16:59:33.172751,286.36,315
2026-04-25 17:16:34.481321,286.36,315
2026-04-25 17:32:23.368154,286.36,315
