Fecha,Saturación,N° de pallets
2026-09-15 00:00:09.924215,94.55,104
2026-09-15 00:26:44.252862,84.55,93
2026-09-15 00:53:05.612671,87.27,96
2026-09-15 01:19:30.804472,86.36,95
2026-09-15 01:45:55.045719,91.82,101
2026-09-15 02:12:14.722347,90.91,100
2026-09-15 02:38:38.430280,118.18,130
2026-09-15 03:04:57.696793,126.36,139
2026-09-15 03:31:22.461695,120.91,133
2026-09-15 03:59:25.864225,117.27,129
2026-09-15 04:25:40.517445,111.82,123
2026-09-15 04:52:05.368545,131.82,145
2026-09-15 05:18:20.516993,97.27,107
2026-09-15 05:44:47.559128,83.64,92
2026-09-15 06:11:02.590105,81.82,90
