Fecha,Saturación,N° de pallets
2026-02-12 00:16:50.629325,84.55,93
2026-02-12 00:32:28.327016,84.55,93
2026-02-12 00:50:26.051897,63.64,70
2026-02-12 01:06:02.350124,70.91,78
2026-02-12 01:24:03.184506,112.73,124
2026-02-12 01:56:42.517471,110.0,121
2026-02-12 02:12:22.544577,97.27,107
2026-02-12 03:01:02.841608,90.0,99
2026-02-12 03:33:06.466765,102.73,113
2026-02-12 03:48:42.648236,69.09,76
2026-02-12 04:04:17.660681,63.64,70
2026-02-12 04:19:51.019589,63.64,70
2026-02-12 04:37:48.861737,56.36,62
2026-02-12 04:56:01.351757,40.0,44
2026-02-12 05:13:20.210130,73.64,81
2026-02-12 05:46:40.282478,70.0,77
2026-02-12 06:04:39.776336,79.09,87
2026-02-12 06:36:52.994820,77.27,85
2026-02-12 07:09:51.852874,77.27,85
2026-02-12 07:26:42.646085,77.27,85
2026-02-12 07:43:30.254646,70.0,77
2026-02-12 08:00:24.966813,90.91,100
2026-02-12 08:17:23.008956,97.27,107
2026-02-12 08:49:51.247383,89.09,98
2026-02-12 09:06:47.972929,74.55,82
2026-02-12 09:22:24.282956,55.45,61
2026-02-12 09:38:01.976096,59.09,65
2026-02-12 09:55:28.401114,54.55,60
2026-02-12 10:29:51.344758,83.64,92
2026-02-12 10:45:32.518638,80.0,88
2026-02-12 11:18:26.230179,60.91,67
2026-02-12 11:34:07.215962,60.91,67
2026-02-12 11:49:49.491879,50.91,56
2026-02-12 12:05:34.837165,63.64,70
2026-02-12 12:38:13.085536,30.0,33
2026-02-12 12:54:58.011269,40.91,45
2026-02-12 13:10:36.980330,63.64,70
2026-02-12 13:28:46.873657,70.91,78
2026-02-12 14:02:42.322174,45.45,50
2026-02-12 14:19:59.264599,63.64,70
2026-02-12 14:52:20.012509,63.64,70
2026-02-12 15:07:57.721603,63.64,70
2026-02-12 15:25:03.950237,63.64,70
2026-02-12 15:42:16.414937,52.73,58
2026-02-12 16:14:38.126145,51.82,57
2026-02-12 16:32:41.728396,25.45,28
2026-02-12 17:24:09.595893,5.45,6
2026-02-12 17:40:56.256097,9.09,10
