Fecha,Saturación,N° de pallets
2026-03-11 00:21:52.975778,36.36,40
2026-03-11 00:54:10.619000,9.09,10
2026-03-11 01:09:54.368703,2.73,3
2026-03-11 01:42:42.344454,22.73,25
2026-03-11 02:01:30.885166,12.73,14
2026-03-11 02:34:16.778320,10.91,12
2026-03-11 02:49:55.654505,10.91,12
2026-03-11 03:07:20.469586,10.91,12
2026-03-11 03:22:58.505940,10.0,11
2026-03-11 03:39:48.358734,10.0,11
2026-03-11 03:55:25.084470,12.73,14
2026-03-11 04:11:08.799242,10.0,11
2026-03-11 04:26:47.184834,14.55,16
2026-03-11 04:42:27.609269,2.73,3
2026-03-11 04:58:13.370804,1.82,2
2026-03-11 05:13:52.143974,9.09,10
2026-03-11 05:29:29.308535,19.09,21
2026-03-11 05:47:40.370332,19.09,21
2026-03-11 06:05:05.281938,14.55,16
2026-03-11 06:22:22.136235,43.64,48
2026-03-11 06:38:03.595799,43.64,48
2026-03-11 06:53:48.518060,43.64,48
2026-03-11 07:09:26.240786,43.64,48
2026-03-11 07:25:05.955595,43.64,48
2026-03-11 07:57:38.363373,28.18,31
2026-03-11 08:14:29.081419,19.09,21
2026-03-11 08:47:32.886583,20.0,22
2026-03-11 09:24:30.900689,30.0,33
