Destino,Horas_Estimadas
ANTOFAGASTA,31
ARICA,54
CHILLAN,7
CONCEPCION,10
COPIAPO,20
COPIAPO / LA SERENA,9
EL PINAR,1
IQUIQUE,37
LA SERENA,9
LA SERENA / RUTA SOLITARIA 1059 LV,4
LO ESPEJO,1
LOS ANDES,2
LOS ANGELES,10
MELIPILLA,2
OSORNO,21
PTO MONTT,23
PTO MONTT / RUTA SOLITARIA ELPAC,23
PTO MONTT / VALDIVIA,20
RANCAGUA,2
RUTA SOLITARIA 1059 LV,4
SAN FERNANDO,3
TALCA,5
TEMUCO,12
VALDIVIA,20
VINA DEL MAR,3
