Cia;Codigo;DescripciÃ³n de artÃ­culo;Cod Barra;Peso;Cupo;CUPO PALLET;UNI EMPAQUE;CÃ³digos de artÃ­-culos alternativos;Descrip 3 Artic;TipoAlmac;Linea;Costo Und;Cod Jerarq 5;Cod Jerarq 1;Jerarq1;Cod Jerarq 2;Jeraq Item 2;Cod Jerarq 3;Jerarq3;Jerarq4;Categoria;Grupo Productos;Grupo;Groupo VAS;Peligroso;Cod Pre-pack;Fe y Hr Creac;Registro de hora de modificaciÃ³n;Usuario de modificaciÃ³n;Mod Host?;Es principal;Modif Interf?;SKU Dummy?;Empaq C/OLA;Fecha Mod Cubis;Sigue InvAtrib A;Sigue InvAtrib B;Sigue InvAtrib C;Sigue InvAtrib D;Sigue InvAtrib E;Sigue InvAtrib F;Sigue InvAtrib G;Porc Toler Pack;Descrip 2 Artic;Estilo;Descripcion corta;SKU;Parte b;Parte c;Parte d;Parte e;Parte f;Std Pack Qty;Apilabilidad;UnMinDespacho;Total de unidades secundarias;Req Nro Lote;Seguimiento de número de serie;Manejo Decimal?;Usuario creado;UM principal
CLID;10177;Pan Hamburguesa Artesano 4p 330g ID;7803403002250;330;10;72;BG;10177;BG;PIS_B;;1;100234;0;Cantidad de pallet;4;Envases por Bandeja;18;Bandejas por Pallet;Unit of Measure;Codigo de Barredura;;;;False;;28/04/2018 19:19;20/07/2026 22:43;lgfwebservice_2;True;False;True;False;False;;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;0;;;;10177;;;;;;4;;;1;True;Not Required;False;lgfwebservice;units
CLID;10298;Pinguinos Chocolate 3p 120g MLA;7803473004840;120;40;72;BG;10298;BG;PAST;;1;100234;0;Cantidad de pallet;4;Envases por Bandeja;18;Bandejas por Pallet;Unit of Measure;Codigo de Barredura;;;;False;;28/04/2018 19:19;27/08/2026 15:43;lgfwebservice_2;True;False;True;False;False;;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;0;;;;10298;;;;;;4;;;1;True;Not Required;False;lgfwebservice;units
CLID;122874;Takis Original 1p 190g Flow BAR EXP;757528024581;190;12;135;CT;122874;CT;;;1;100234;0;Cantidad de pallet;9;Envases por Bandeja;15;Bandejas por Pallet;Unit of Measure;Codigo de Barredura;;;;False;;04/01/2024 18:43;18/02/2026 00:43;lgfwebservice_2;True;False;True;False;False;;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;0;CORN CHIPS;;;122874;;;;;;9;;;1;True;Not Required;False;lgfwebservice_2;units
CLID;123152;Takis Fuego 1ct 2OZ 56g FLOW BAR EXP;757528005276;56;36;117;CU;123152;CU;;;1;100234;0;Cantidad de pallet;9;Envases por Bandeja;13;Bandejas por Pallet;Unit of Measure;Codigo de Barredura;;;;False;;04/01/2024 18:43;18/02/2026 00:43;lgfwebservice_2;True;False;True;False;False;;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;0;CORN CHIPS;;;123152;;;;;;9;;;1;True;Not Required;False;lgfwebservice_2;units
CLID;123153;Mini Takis Fuego 25ct 875g ME BAR EXP;757528009113;4375;1;64;CU;123153;CU;;;1;100234;0;Cantidad de pallet;8;Envases por Bandeja;8;Bandejas por Pallet;Unit of Measure;Codigo de Barredura;;;;False;;04/01/2024 18:43;14/09/2026 23:43;lgfwebservice_2;True;False;True;False;False;;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;0;CORN CHIPS;;;123153;;;;;;8;;;1;True;Not Required;False;lgfwebservice_2;units
CLID;123154;Takis Fuego 1ct 4OZ 113.4g FLOW BAR EXP;757528008796_123154;113.4;16;117;CU;123154;CU;;;1;100234;0;Cantidad de pallet;9;Envases por Bandeja;13;Bandejas por Pallet;Unit of Measure;Codigo de Barredura;;;;False;;04/01/2024 18:43;18/02/2026 00:43;lgfwebservice_2;True;False;True;False;False;;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;0;CORN CHIPS;;;123154;;;;;;9;;;1;True;Not Required;False;lgfwebservice_2;units
CLID;123163;Takis Fuego 1ct 1oz 28g FLOW BAR EXP;757528005047;28;46;96;CU;123163;CU;;;1;100234;0;Cantidad de pallet;6;Envases por Bandeja;16;Bandejas por Pallet;Unit of Measure;Codigo de Barredura;;;;False;;04/01/2024 18:43;18/02/2026 00:43;lgfwebservice_2;True;False;True;False;False;;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;0;CORN CHIPS;;;123163;;;;;;6;;;1;True;Not Required;False;lgfwebservice_2;units
CLID;123189;Takis Fuego 42ct 2oz 56g CASE EXP BAR;20757528002767;56;42;112;CU;123189;CU;;;1;100234;0;Cantidad de pallet;8;Envases por Bandeja;14;Bandejas por Pallet;Unit of Measure;Codigo de Barredura;;;;False;;04/01/2024 18:43;18/02/2026 00:43;lgfwebservice_2;True;False;True;False;False;;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;0;CORN CHIPS;;;123189;;;;;;8;;;1;True;Not Required;False;lgfwebservice_2;units
CLID;123191;Takis Fuego 20ct 4oz 113.4g CASE EXP BAR;30757528008797;113.4;20;112;CU;123191;CU;;;1;100234;0;Cantidad de pallet;8;Envases por Bandeja;14;Bandejas por Pallet;Unit of Measure;Codigo de Barredura;;;;False;;04/01/2024 18:43;18/02/2026 00:43;lgfwebservice_2;True;False;True;False;False;;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;0;CORN CHIPS;;;123191;;;;;;8;;;1;True;Not Required;False;lgfwebservice_2;units
CLID;123397;Takis Fuego 9.9oz 280g FLOW BAR EXP;757528028268_123397;280;12;64;CU;123397;CU;;;1;100234;0;Cantidad de pallet;8;Envases por Bandeja;8;Bandejas por Pallet;Unit of Measure;Codigo de Barredura;;;;False;;04/01/2024 18:43;18/02/2026 00:43;lgfwebservice_2;True;False;True;False;False;;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;0;CORN CHIPS;;;123397;;;;;;8;;;1;True;Not Required;False;lgfwebservice_2;units
CLID;123399;Takis Xplosion 9.9OZ 280g EXP CAN BAR;757528028282_123399;280;12;64;CU;123399;CU;;;1;100234;0;Cantidad de pallet;8;Envases por Bandeja;8;Bandejas por Pallet;Unit of Measure;Codigo de Barredura;;;;False;;04/01/2024 18:43;18/02/2026 00:43;lgfwebservice_2;True;False;True;False;False;;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;0;CORN CHIPS;;;123399;;;;;;8;;;1;True;Not Required;False;lgfwebservice_2;units
CLID;123490;Takis Fuego 1p 190g Flow BAR EXP;757528028947;190;12;135;CT;123490;CT;;;1;100234;0;Cantidad de pallet;15;Envases por Bandeja;9;Bandejas por Pallet;Unit of Measure;Codigo de Barredura;;;;False;;04/01/2024 18:43;18/02/2026 00:43;lgfwebservice_2;True;False;True;False;False;;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;0;CORN CHIPS;;;123490;;;;;;15;;;1;True;Not Required;False;lgfwebservice_2;units
CLID;123501;Takis Xplosion 1p 56g Flow BAR EXP;757528029050;56;36;108;CT;123501;CT;;;1;100234;0;Cantidad de pallet;9;Envases por Bandeja;12;Bandejas por Pallet;Unit of Measure;Codigo de Barredura;;;;False;;04/01/2024 18:43;18/02/2026 00:43;lgfwebservice_2;True;False;True;False;False;;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;0;CORN CHIPS;;;123501;;;;;;9;;;1;True;Not Required;False;lgfwebservice_2;units
CLID;123502;Takis Xplosion 1p 90g Flow BAR EXP;757528029067;90;35;64;CT;123502;CT;;;1;100234;0;Cantidad de pallet;8;Envases por Bandeja;8;Bandejas por Pallet;Unit of Measure;Codigo de Barredura;;;;False;;04/01/2024 18:43;18/02/2026 00:43;lgfwebservice_2;True;False;True;False;False;;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;0;CORN CHIPS;;;123502;;;;;;8;;;1;True;Not Required;False;lgfwebservice_2;units
CLID;123503;Takis Xplosion 1p 190g Flow BAR EXP;757528029074;190;12;135;CT;123503;CT;;;1;100234;0;Cantidad de pallet;9;Envases por Bandeja;15;Bandejas por Pallet;Unit of Measure;Codigo de Barredura;;;;False;;04/01/2024 18:43;18/02/2026 00:43;lgfwebservice_2;True;False;True;False;False;;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;0;CORN CHIPS;;;123503;;;;;;9;;;1;True;Not Required;False;lgfwebservice_2;units
CLID;124317;Takis Fuego 14ct 9.9oz 280g CASE EXP BAR;20757528008684;280;14;72;CU;124317;CU;;;1;100234;0;Cantidad de pallet;8;Envases por Bandeja;9;Bandejas por Pallet;Unit of Measure;Codigo de Barredura;;;;False;;04/01/2024 18:43;18/02/2026 00:43;lgfwebservice_2;True;False;True;False;False;;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;0;CORN CHIPS;;;124317;;;;;;8;;;1;True;Not Required;False;lgfwebservice_2;units
CLID;124678;Takis Blue Heat Promo 20ct 4oz 113.4g BAG BAR;10757528037465;113.4;20;112;CU;124678;CU;;;1;100234;0;Cantidad de pallet;8;Envases por Bandeja;14;Bandejas por Pallet;Unit of Measure;Codigo de Barredura;;;;False;;04/01/2024 18:43;18/02/2026 00:43;lgfwebservice_2;True;False;True;False;False;;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;0;CORN CHIPS;;;124678;;;;;;8;;;1;True;Not Required;False;lgfwebservice_2;units
CLID;124679;Takis Blue Heat Promo 14ct 9.9oz 280g BAG BAR;10757528037472;280;14;72;CU;124679;CU;;;1;100234;0;Cantidad de pallet;8;Envases por Bandeja;9;Bandejas por Pallet;Unit of Measure;Codigo de Barredura;;;;False;;04/01/2024 18:43;18/02/2026 00:43;lgfwebservice_2;True;False;True;False;False;;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;0;CORN CHIPS;;;124679;;;;;;8;;;1;True;Not Required;False;lgfwebservice_2;units
CLID;124949;Chips Sal 1p 170g Flow BAR EXP;757528038908_1;170;8;108;CT;124949;CT;;;1;100234;0;Cantidad de pallet;9;Envases por Bandeja;12;Bandejas por Pallet;Unit of Measure;Codigo de Barredura;;;;False;;04/01/2024 18:43;18/02/2026 00:43;lgfwebservice_2;True;False;True;False;False;;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;0;FRIED CHIPS;;;124949;;;;;;9;;;1;True;Not Required;False;lgfwebservice_2;units
CLID;125070;Takis Fuego 1p 56g Bolsa BAR;757528039592;56;42;112;CME;125070;CME;;;1;100234;0;Cantidad de pallet;8;Envases por Bandeja;14;Bandejas por Pallet;Unit of Measure;Codigo de Barredura;;;;False;;20/07/2019 07:04;18/08/2026 14:13;lgfwebservice_2;True;False;True;False;False;;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;0;CORN CHIPS;;;125070;;;;;;8;;;1;True;Not Required;False;lgfwebservice;units
CLID;125071;Takis Fuego 1p 280g Bolsa BAR;757528039608;280;12;64;CME;125071;CME;;;1;100234;0;Cantidad de pallet;8;Envases por Bandeja;8;Bandejas por Pallet;Unit of Measure;Codigo de Barredura;;;;False;;20/07/2019 07:04;27/07/2026 17:43;lgfwebservice_2;True;False;True;False;False;;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;0;BTakisFuego280g;;;125071;;;;;;8;;;1;True;Not Required;False;lgfwebservice;units
CLID;125072;Takis Original 1p 56g BOLSA BAR EXP;757528039615;56;42;112;CME;125072;CME;;;1;100234;0;Cantidad de pallet;8;Envases por Bandeja;14;Bandejas por Pallet;Unit of Measure;Codigo de Barredura;;;;False;;26/07/2019 07:04;18/08/2026 14:13;lgfwebservice_2;True;False;True;False;False;;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;0;CORN CHIPS;;;125072;;;;;;8;;;1;True;Not Required;False;lgfwebservice;units
CLID;125073;Takis Original 1p 280g Bolsa BAR;757528039622;280;12;64;CME;125073;CME;;;1;100234;0;Cantidad de pallet;8;Envases por Bandeja;8;Bandejas por Pallet;Unit of Measure;Codigo de Barredura;;;;False;;20/07/2019 07:04;27/07/2026 17:43;lgfwebservice_2;True;False;True;False;False;;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;0;BTakiOrig1p280g;;;125073;;;;;;8;;;1;True;Not Required;False;lgfwebservice;units
CLID;125074;Takis Xplosion 1p 56g Bolsa BAR;757528039639;56;42;112;CME;125074;CME;;;1;100234;0;Cantidad de pallet;8;Envases por Bandeja;14;Bandejas por Pallet;Unit of Measure;Codigo de Barredura;;;;False;;20/07/2019 07:04;18/08/2026 14:13;lgfwebservice_2;True;False;True;False;False;;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;0;CORN CHIPS;;;125074;;;;;;8;;;1;True;Not Required;False;lgfwebservice;units
