Fecha,Saturación,N° de pallets
2026-09-03 00:23:31.628148,0.91,1
2026-09-03 01:10:45.533188,0.91,1
2026-09-03 02:03:00.132745,3.64,4
2026-09-03 02:29:39.210452,1.82,2
2026-09-03 02:56:28.893137,1.82,2
2026-09-03 03:23:50.834462,0.91,1
2026-09-03 03:35:27.128484,0.91,1
2026-09-03 04:02:33.705062,6.36,7
2026-09-03 04:29:23.710930,6.36,7
2026-09-03 04:40:48.889361,6.36,7
2026-09-03 04:48:16.933385,6.36,7
2026-09-03 05:15:18.784558,2.73,3
2026-09-03 05:44:58.437253,0.0,0
2026-09-03 06:11:40.152139,24.55,27
2026-09-03 06:38:14.357003,27.27,30
2026-09-03 07:05:07.598319,27.27,30
2026-09-03 07:16:22.953530,27.27,30
2026-09-03 07:42:55.063190,27.27,30
2026-09-03 08:09:46.078255,24.55,27
